,Sentence,Source,Side,Readability,split
35,This compound exhibited the same biological profile as ara-C in cell cultures and zebrafish larvae.,pnas,complex,5.0,train
36,"Using azide-alkyne "" click "" reactions, we uncovered an apparent contradiction: drug-resistant cells incorporated relatively large quantities of AzC into their genomes and entered S-phase arrest, whereas drug-sensitive cells incorporated only small quantities of AzC.",pnas,complex,6.0,train
37,"Fluorescence microscopy was used to elucidate structural features associated with drug resistance by characterizing the architectures of stalled DNA replication foci containing AzC, EdU, gH2AX, and proliferating cell nuclear antigen (PCNA).",pnas,complex,5.3,train
38,"Three-color superresolution imaging revealed replication foci containing one, two, or three partially resolved replication forks.",pnas,complex,5.0,train
39,"Upon removing AzC from the media, resumption of DNA synthesis and completion of the cell cycle occurred before complete removal of AzC from genomes in vitro and in vivo.",pnas,complex,5.3,train
40,"These results revealed an important mechanism for the low toxicity of ara-C toward normal tissues and drug-resistant cancer cells, where its efficient incorporation into DNA gives rise to highly stable, stalled replication forks that limit further incorporation of the drug, yet allow for the resumption of DNA synthesis and cellular division following treatment.",pnas,complex,5.3,train
41,"The pharmacophore of a clinically important prodrug, cytarabine (ara-C), was directly modified with an azide group that had little or no impact on its potency or mode of action.",pnas,simple,5.3,train
42,"This "" clickable "" anticancer drug mimic unexpectedly revealed that the efficient incorporation of ara-C into DNA was associated with drug resistance rather than drug sensitivity.",pnas,simple,5.3,train
43,Our results therefore challenge a long-standing perception regarding the cell-type selectivity of nucleoside-based drugs.,pnas,simple,4.7,train
44,"The mediators of ara-C resistance, DNA replication foci, were characterized using superresolution microscopy.",pnas,simple,6.0,train
45,"In addition to providing detailed glimpses of individual replication forks in cells, these results suggest that new theranostic candidates for blood-cell analysis can be generated by introducing a bioorthogonal functional group directly into the pharmacophore of a Food and Drug Administration-approved drug.",pnas,simple,5.3,train
46,"TcSMUG L products were recently identified as novel mucin-type glycoconjugates restricted to the surface of insect-dwelling epimastigote forms of Trypanosoma cruzi, the etiological agent of Chagas disease.",plos_neglected_tropical_diseases,complex,6.0,train
47,"The remarkable conservation of their predicted mature N-terminal region, which is exposed to the extracellular milieu, suggests that TcSMUG L products may be involved in structural and / or functional aspects of the interaction with the insect vector.",plos_neglected_tropical_diseases,complex,5.7,train
48,"Here, we investigated the putative roles of TcSMUG L mucins in both in vivo development and ex vivo attachment of epimastigotes to the luminal surface of the digestive tract of Rhodnius prolixus.",plos_neglected_tropical_diseases,complex,6.0,train
49,"Our results indicate that the exogenous addition of TcSMUG L N-terminal peptide, but not control T. cruzi mucin peptides, to the infected bloodmeal inhibited the development of parasites in R. prolixus in a dose-dependent manner.",plos_neglected_tropical_diseases,complex,6.0,train
50,"Pre-incubation of insect midguts with the TcSMUG L peptide impaired the ex vivo attachment of epimastigotes to the luminal surface epithelium, likely by competing out TcSMUG L binding sites on the luminal surface of the posterior midgut, as revealed by fluorescence microscopy.",plos_neglected_tropical_diseases,complex,6.0,train
51,"Together, these observations indicate that TcSMUG L mucins are a determinant of both adhesion of T. cruzi epimastigotes to the posterior midgut epithelial cells of the triatomine, and the infection of the insect vector, R. prolixus.",plos_neglected_tropical_diseases,complex,6.0,train
52,"Chagas disease, the major tropical human disease in much of Latin America, affects approximately 11 million people.",plos_neglected_tropical_diseases,simple,4.3,train
53,"There are 300, 000 new cases of Chagas disease and approximately 21, 000 deaths, annually.",plos_neglected_tropical_diseases,simple,4.0,train
54,"Triatomine vectors, including Rhodnius prolixus, are able to transmit the protozoan Trypanosoma cruzi, the etiological agent of disease.",plos_neglected_tropical_diseases,simple,5.0,train
55,"To develop within insects, the flagellates undergo morphological changes, modulating surface molecules to enable interactions with insect tissues such as the perimicrovilar membranes in the midgut which is an essential step for their development and successful transmission to a vertebrate host.",plos_neglected_tropical_diseases,simple,5.0,train
56,The surface of T. cruzi is covered in glycosyl phosphatidylinositol (GPI)-anchored mucin molecules that determine parasite protection and establishment of a persistent infection in vertebrates.,plos_neglected_tropical_diseases,simple,6.0,train
57,"A particular kind of mucin, termed TcSMUG L, is only present at surface of the insect-dwelling stages of protozoan and, according to our results, it is involved in the interaction between T. cruzi and its invertebrate host, determining both the ex vivo adhesion to the insect midgut cells and the in vivo development in the vector.",plos_neglected_tropical_diseases,simple,5.3,train
58,"Collectively, our work adds new insight into the relevance of mucin-type glycoconjugates in the infection of insect vectors and points to them as promising targets to develop transmission-blocking strategies for this disease.",plos_neglected_tropical_diseases,simple,5.3,train
59,Many duplicate genes maintain functional overlap despite divergence over long evolutionary time scales.,plos_biology,complex,4.7,train
60,"Deleting one member of a paralogous pair often has no phenotypic effect, unless its paralog is also deleted.",plos_biology,complex,5.0,train
61,It has been suggested that this functional compensation might be mediated by active up-regulation of expression of a gene in response to deletion of its paralog.,plos_biology,complex,5.0,train
62,"However, it is not clear how prevalent such paralog responsiveness is, nor whether it is hardwired or dependent on feedback from environmental conditions.",plos_biology,complex,4.7,train
63,"Here, we address these questions at the genomic scale using high-throughput flow cytometry of single-cell protein levels in differentially labeled cocultures of wild-type and paralog-knockout Saccharomyces cerevisiae strains.",plos_biology,complex,5.3,train
64,We find that only a modest fraction of proteins (22 out of 202) show significant up-regulation to deletion of their duplicate genes.,plos_biology,complex,4.7,train
65,"However, these paralog-responsive proteins match almost exclusively duplicate pairs whose overlapping function is required for growth.",plos_biology,complex,4.7,train
66,"Moreover, media conditions that add or remove requirements for the function of a duplicate gene pair specifically eliminate or create paralog responsiveness.",plos_biology,complex,4.3,train
67,"Together, our results suggest that paralog responsiveness in yeast is need-based: it appears only in conditions in which the gene function is required.",plos_biology,complex,5.0,train
68,"Physiologically, such need-based responsiveness could provide an adaptive mechanism for compensation of genetic, environmental, or stochastic perturbations in protein abundance.",plos_biology,complex,4.7,train
69,"Despite sequence divergence over long evolutionary times, many genes that have undergone duplication can still compensate for the loss of their duplicates.",plos_biology,simple,4.7,train
70,"This compensation depends, not only on functional overlap between the paralogous genes, but also on overlap in their expression patterns.",plos_biology,simple,5.0,train
71,It has been proposed that compensation might therefore involve active up-regulation of a gene in response to deletion of its paralog.,plos_biology,simple,5.0,train
72,"To test for such paralog responsiveness in the yeast Saccharomyces cerevisiae, we systematically measured changes in single-cell protein levels for approximately 200 duplicate genes in the presence or absence of their paralogs.",plos_biology,simple,5.0,train
73,"Only a small fraction (~ 11%) of proteins increased in level in response to deletion of their paralog, but this set matched almost exclusively the subset of paralogs whose overlapping function is required for viability.",plos_biology,simple,5.3,train
74,"Further, when we examined yeast grown in different media, we found that genes had either gained or lost paralog responsiveness exactly according to their importance for growth in the tested conditions.",plos_biology,simple,5.0,train
75,"Responsiveness, therefore, is need-based: it appears only in conditions in which the function of one or both paralogs is required.",plos_biology,simple,4.7,train
76,"We propose that such need-based responsiveness of duplicate genes could play an important adaptive role, not just in the artificial event of paralog deletion, but also in the maintenance of functions that are compromised by natural genetic, environmental, or stochastic perturbations.",plos_biology,simple,5.0,train
77,Schistosoma mansoni is a parasitic infection common in the tropics and sub-tropics.,cochrane_all,complex,4.3,train
78,"Chronic and advanced disease includes abdominal pain, diarrhoea, blood in the stool, liver cirrhosis, portal hypertension, and premature death.",cochrane_all,complex,4.3,train
79,"To evaluate the effects of antischistosomal drugs, used alone or in combination, for treating S. mansoni infection.",cochrane_all,complex,5.0,train
80,"We searched MEDLINE, EMBASE and LILACS from inception to October 2012, with no language restrictions.",cochrane_all,complex,3.7,train
81,"We also searched the Cochrane Infectious Diseases Group Specialized Register, CENTRAL (The Cochrane Library 2012) and mRCT.",cochrane_all,complex,4.3,train
82,The reference lists of articles were reviewed and experts were contacted for unpublished studies.,cochrane_all,complex,3.7,train
83,"Randomized controlled trials of antischistosomal drugs, used alone or in combination, versus placebo, different antischistosomal drugs, or different doses of the same antischistosomal drug for treating S. mansoni infection.",cochrane_all,complex,5.3,train
84,Data collection and analysis,cochrane_all,complex,3.3,train
85,"One author extracted data and assessed eligibility and risk of bias in the included studies, which were independently checked by a second author.",cochrane_all,complex,4.0,train
86,We combined dichotomous outcomes using risk ratio (RR) and continuous data weighted mean difference (WMD); we presented both with 95% confidence intervals (CI).,cochrane_all,complex,5.0,train
87,We assessed the quality of evidence using the GRADE approach.,cochrane_all,complex,3.7,train
88,"Fifty-two trials enrolling 10, 269 participants were included.",cochrane_all,complex,3.7,train
89,The evidence was of moderate or low quality due to the trial methods and small numbers of included participants.,cochrane_all,complex,4.0,train
90,"Compared to placebo, praziquantel 40 mg / kg probably reduces parasitological treatment failure at one month post-treatment (RR 3. 13, 95% CI 1. 03 to 9. 53, two trials, 414 participants, moderate quality evidence).",cochrane_all,complex,4.3,train
91,"Compared to this standard dose, lower doses may be inferior (30 mg / kg: RR 1. 52, 95% CI 1. 15 to 2. 01, three trials, 521 participants, low quality evidence; 20 mg / kg: RR 2. 23, 95% CI 1. 64 to 3. 02, two trials, 341 participants, low quality evidence); and higher doses, up to 60 mg / kg, do not appear to show any advantage (four trials, 783 participants, moderate quality evidence).",cochrane_all,complex,4.7,train
92,"The absolute parasitological cure rate at one month with praziquantel 40 mg / kg varied substantially across studies, ranging from 52% in Senegal in 1993 to 92% in Brazil in 2006/2007.",cochrane_all,complex,4.7,train
93,"Compared to placebo, oxamniquine 40 mg / kg probably reduces parasitological treatment failure at three months (RR 8. 74, 95% CI 3. 74 to 20. 43, two trials, 82 participants, moderate quality evidence).",cochrane_all,complex,5.0,train
94,"Lower doses than 40 mg / kg may be inferior at one month (30 mg / kg: RR 1. 78, 95% CI 1. 15 to 2. 75, four trials, 268 participants, low quality evidence; 20 mg / kg: RR 3. 78, 95% CI 2. 05 to 6. 99, two trials, 190 participants, low quality evidence), and higher doses, such as 60 mg / kg, do not show a consistent benefit (four trials, 317 participants, low quality evidence).",cochrane_all,complex,4.7,train
95,These trials are now over 20 years old and only limited information was provided on the study designs and methods.,cochrane_all,complex,3.7,train
96,"Only one small study directly compared praziquantel 40 mg / kg with oxamniquine 40 mg / kg and we are uncertain which treatment is more effective in reducing parasitological failure (one trial, 33 participants, very low quality evidence).",cochrane_all,complex,5.0,train
97,"A further 10 trials compared oxamniquine at 20, 30 and 60 mg / kg with praziquantel 40 mg / kg and did not show any marked differences in failure rate or percent egg reduction.",cochrane_all,complex,5.0,train
98,"We are uncertain whether combining praziquantel with artesunate reduces failures compared to praziquantel alone at one month (one trial, 75 participants, very low quality evidence).",cochrane_all,complex,5.0,train
99,"Two trials also compared combinations of praziquantel and oxamniquine in different doses, but did not find statistically significant differences in failure (two trials, 87 participants).",cochrane_all,complex,4.7,train
100,Other outcomes and analyses,cochrane_all,complex,3.7,train
101,"In trials reporting clinical improvement evaluating lower doses (20 mg / kg and 30 mg / kg) against the standard 40 mg / kg for both praziquantel or oxamniquine, no dose effect was demonstrable in resolving abdominal pain, diarrhoea, blood in stool, hepatomegaly, and splenomegaly (follow up at one, three, six, 12, and 24 months; three trials, 655 participants).",cochrane_all,complex,4.0,train
102,Adverse events were not well-reported but were mostly described as minor and transient.,cochrane_all,complex,4.3,train
103,"In an additional analysis of treatment failure in the treatment arm of individual studies stratified by age, failure rates with 40 mg / kg of both praziquantel and oxamniquine were higher in children.",cochrane_all,complex,4.7,train
104,Praziquantel 40 mg / kg as the standard treatment for S. mansoni infection is consistent with the evidence.,cochrane_all,complex,4.7,train
105,"Oxamniquine, a largely discarded alternative, also appears effective.",cochrane_all,complex,4.3,train
106,Further research will help find the optimal dosing regimen of both these drugs in children.,cochrane_all,complex,4.0,train
107,"Combination therapy, ideally with drugs with unrelated mechanisms of action and targeting the different developmental stages of the schistosomes in the human host should be pursued as an area for future research.",cochrane_all,complex,5.0,train
108,The CIDG is currently examining a new search conducted in April 2019 for potentially relevant studies.,cochrane_all,complex,4.0,train
109,These studies have not yet been incorporated into this Cochrane Review.,cochrane_all,complex,4.0,train
110,Drugs for treating Schistosoma mansoni infection,cochrane_all,simple,3.7,train
111,"Schistosoma mansoni is a parasitic worm common in Africa, the Middle East and parts of South America.",cochrane_all,simple,4.3,train
112,"The worm larvae live in ponds and lakes contaminated by faeces, and can penetrate a persons' skin when they swim or bathe.",cochrane_all,simple,4.0,train
113,"Inside the host, the larvae grow into adult worms; these produce eggs, which are excreted in the faeces.",cochrane_all,simple,3.7,train
114,Eggs rather than worms cause disease.,cochrane_all,simple,3.0,train
115,"Long-term infection can cause bloody diarrhoea, abdominal pains, and enlargement of the liver and spleen.",cochrane_all,simple,4.3,train
116,"In this review, researchers in the Cochrane Collaboration evaluated drug treatments for people infected with Schistosoma mansoni.",cochrane_all,simple,4.0,train
117,"After searching for all relevant studies, they found 52 trials, including 10, 269 people, conducted in Africa, Brazil and the Middle East.",cochrane_all,simple,3.7,train
118,Most trials report on whether or not the treatment stops eggs excretion; three reported the persons recovery from symptoms.,cochrane_all,simple,4.0,train
119,"The results show that a single dose of praziquantel (40 mg / kg), as recommended by the World Health Organization, is an effective treatment for Schistosoma mansoni infection.",cochrane_all,simple,4.3,train
120,"Lower doses may be less effective, and higher doses probably have no additional benefit.",cochrane_all,simple,3.7,train
121,"Oxamniquine (40 mg / kg), though now rarely used, is also effective.",cochrane_all,simple,4.0,train
122,"Again, lower doses may be less effective and no advantage has been demonstrated with higher doses.",cochrane_all,simple,3.3,train
123,"Only one study directly compared praziquantel 40 mg / kg with oxamniquine 40 mg / kg, and based on this limited evidence, we are uncertain which intervention is more effective.",cochrane_all,simple,4.0,train
124,"Adverse events were not well reported for either drug, but were mostly described as minor and transient.",cochrane_all,simple,3.7,train
125,"In children aged less than 5 years, there is limited evidence that these doses may be less effective, and further research will help optimise the dose for this age-group.",cochrane_all,simple,3.3,train
126,Convulsive status epilepticus is the most common neurological emergency in children.,nhir_Health_Technology_Assessment,complex,4.3,train
127,Its management is important to avoid or minimise neurological morbidity and death.,nhir_Health_Technology_Assessment,complex,4.3,train
128,"The current first-choice second-line drug is phenytoin (Epanutin, Pfizer Inc. , New York, NY, USA), for which there is no robust scientific evidence.",nhir_Health_Technology_Assessment,complex,4.0,train
129,"To determine whether phenytoin or levetiracetam (Keppra, UCB Pharma, Brussels, Belgium) is the more clinically effective intravenous second-line treatment of paediatric convulsive status epilepticus and to help better inform its management.",nhir_Health_Technology_Assessment,complex,5.0,train
130,A multicentre parallel-group randomised open-label superiority trial with a nested mixed-method study to assess recruitment and research without prior consent.,nhir_Health_Technology_Assessment,complex,5.0,train
131,Participants were recruited from 30 paediatric emergency departments in the UK.,nhir_Health_Technology_Assessment,complex,4.3,train
132,"Participants aged 6 months to 17 years 11 months, who were presenting with convulsive status epilepticus and were failing to respond to first-line treatment.",nhir_Health_Technology_Assessment,complex,5.0,train
133,Intravenous levetiracetam (40 mg / kg) or intravenous phenytoin (20 mg / kg).,nhir_Health_Technology_Assessment,complex,4.3,train
134,Primary outcome-time from randomisation to cessation of all visible signs of convulsive status epilepticus.,nhir_Health_Technology_Assessment,complex,5.0,train
135,"Secondary outcomes-further anticonvulsants to manage the convulsive status epilepticus after the initial agent, the need for rapid sequence induction owing to ongoing convulsive status epilepticus, admission to critical care and serious adverse reactions.",nhir_Health_Technology_Assessment,complex,5.3,train
136,"Between 17 July 2015 and 7 April 2018, 286 participants were randomised, treated and consented.",nhir_Health_Technology_Assessment,complex,4.0,train
137,A total of 152 participants were allocated to receive levetiracetam and 134 participants to receive phenytoin.,nhir_Health_Technology_Assessment,complex,4.3,train
138,Convulsive status epilepticus was terminated in 106 (70%) participants who were allocated to levetiracetam and 86 (64%) participants who were allocated to phenytoin.,nhir_Health_Technology_Assessment,complex,5.0,train
139,"Median time from randomisation to convulsive status epilepticus cessation was 35 (interquartile range 20-not assessable) minutes in the levetiracetam group and 45 (interquartile range 24-not assessable) minutes in the phenytoin group (hazard ratio 1. 20, 95% confidence interval 0. 91 to 1. 60; p = 0. 2).",nhir_Health_Technology_Assessment,complex,5.0,train
140,"Results were robust to prespecified sensitivity analyses, including time from treatment commencement to convulsive status epilepticus termination and competing risks.",nhir_Health_Technology_Assessment,complex,5.3,train
141,One phenytoin-treated participant experienced serious adverse reactions.,nhir_Health_Technology_Assessment,complex,4.3,train
142,"First, this was an open-label trial.",nhir_Health_Technology_Assessment,complex,4.3,train
143,"A blinded design was considered too complex, in part because of the markedly different infusion rates of the two drugs.",nhir_Health_Technology_Assessment,complex,4.0,train
144,"Second, there was subjectivity in the assessment of' cessation of all signs of continuous, rhythmic clonic activity' as the primary outcome, rather than fixed time points to assess convulsive status epilepticus termination.",nhir_Health_Technology_Assessment,complex,5.0,train
145,"However, site training included simulated demonstration of seizure cessation.",nhir_Health_Technology_Assessment,complex,4.3,train
146,"Third, the time point of randomisation resulted in convulsive status epilepticus termination prior to administration of trial treatment in some cases.",nhir_Health_Technology_Assessment,complex,4.3,train
147,This affected both treatment arms equally and had been prespecified at the design stage.,nhir_Health_Technology_Assessment,complex,3.7,train
148,"Last, safety measures were a secondary outcome, but the trial was not powered to demonstrate difference in serious adverse reactions between treatment groups.",nhir_Health_Technology_Assessment,complex,4.0,train
149,"Levetiracetam was not statistically superior to phenytoin in convulsive status epilepticus termination rate, time taken to terminate convulsive status epilepticus or frequency of serious adverse reactions.",nhir_Health_Technology_Assessment,complex,5.3,train
150,The results suggest that it may be an alternative to phenytoin in the second-line management of paediatric convulsive status epilepticus.,nhir_Health_Technology_Assessment,complex,5.0,train
151,"Simple trial design, bespoke site training and effective leadership were found to facilitate practitioner commitment to the trial and its success.",nhir_Health_Technology_Assessment,complex,4.3,train
152,We provide a framework to optimise recruitment discussions in paediatric emergency medicine trials.,nhir_Health_Technology_Assessment,complex,4.3,train
153,Future work should include a meta-analysis of published studies and the possible sequential use of levetiracetam and phenytoin or sodium valproate in the second-line treatment of paediatric convulsive status epilepticus.,nhir_Health_Technology_Assessment,complex,4.7,train
154,"Most epileptic tonic-clonic seizures, also called convulsions, last for 5 minutes is called convulsive status epilepticus.",nhir_Health_Technology_Assessment,simple,5.3,train
155,"This may cause neurological abnormalities or, rarely, death.",nhir_Health_Technology_Assessment,simple,4.3,train
156,"There is good scientific evidence for the best first-line medicine, called a benzodiazepine, to stop convulsive status epilepticus.",nhir_Health_Technology_Assessment,simple,4.7,train
157,"When a benzodiazepine has not stopped status, a second-line medicine is given.",nhir_Health_Technology_Assessment,simple,3.7,train
158,"The usual second-line medicine, which has been used for> 50 years, is phenytoin (Epanutin, Pfizer Inc. , New York, NY, USA).",nhir_Health_Technology_Assessment,simple,4.0,train
159,"However, it stops status in only half of children.",nhir_Health_Technology_Assessment,simple,3.3,train
160,It must be given slowly because it can cause unpleasant and potentially serious side effects.,nhir_Health_Technology_Assessment,simple,4.0,train
161,"A new medicine called levetiracetam (Keppra, UCB Pharma, Brussels, Belgium) may be more effective.",nhir_Health_Technology_Assessment,simple,4.3,train
162,It seems to have less serious side effects than phenytoin.,nhir_Health_Technology_Assessment,simple,4.3,train
163,"However, there is no good scientific evidence as to whether phenytoin or levetiracetam is better.",nhir_Health_Technology_Assessment,simple,4.3,train
164,A randomised controlled trial is the best scientific way to decide which of these two medicines is better.,nhir_Health_Technology_Assessment,simple,3.7,train
165,The Emergency treatment with Levetiracetam or Phenytoin in Status Epilepticus in children (EcLiPSE) trial was a randomised controlled trial that compared levetiracetam with phenytoin.,nhir_Health_Technology_Assessment,simple,5.0,train
166,A total of 152 children were randomised to receive levetiracetam and a total of 134 children were randomised to receive phenytoin.,nhir_Health_Technology_Assessment,simple,4.3,train
167,"Research without prior consent was shown to be acceptable to parents, doctors and nurses.",nhir_Health_Technology_Assessment,simple,4.0,train
168,Parents' consent to use their child's data and continue in the trial was provided after the emergency situation was resolved.,nhir_Health_Technology_Assessment,simple,3.7,train
169,Convulsive status epilepticus stopped in 70. 4% of the levetiracetam-treated children and in 64% of the phenytoin-treated children.,nhir_Health_Technology_Assessment,simple,5.0,train
170,The median time to status stopping was 35 minutes in the levetiracetam-treated children and 45 minutes in the phenytoin-treated children.,nhir_Health_Technology_Assessment,simple,5.0,train
171,Only one participant on phenytoin (vs. none on levetiracetam) experienced serious side effects that were thought to be caused by their treatment.,nhir_Health_Technology_Assessment,simple,4.3,train
172,None of the results showed any statistically significant or meaningful difference between levetiracetam and phenytoin.,nhir_Health_Technology_Assessment,simple,4.0,train
173,"However, the results suggest that levetiracetam might be an alternative choice to phenytoin.",nhir_Health_Technology_Assessment,simple,4.7,train
174,"In plants, an active defense against biotrophic pathogens is dependent on a functional continuum between the cell wall (CW) and the plasma membrane (PM).",plos_pathogens,complex,5.3,train
175,It is thus anticipated that proteins maintaining this continuum also function in defense.,plos_pathogens,complex,4.7,train
176,The legume-like lectin receptor kinase LecRK-I. 9 is a putative mediator of CW-PM adhesions in Arabidopsis and is known to bind in vitro to the Phytophthora infestans RXLR-dEER effector IPI-O via a RGD cell attachment motif present in IPI-O.,plos_pathogens,complex,6.0,train
177,"Here we show that LecRK-I. 9 is associated with the plasma membrane, and that two T-DNA insertions lines deficient in LecRK-I. 9 (lecrk-I. 9) have a' gain-of-susceptibility' phenotype specifically towards the oomycete Phytophthora brassicae.",plos_pathogens,complex,6.0,train
178,"Accordingly, overexpression of LecRK-I. 9 leads to enhanced resistance to P. brassicae.",plos_pathogens,complex,5.3,train
179,A similar' gain-of-susceptibility' phenotype was observed in transgenic Arabidopsis lines expressing ipiO (35S-ipiO1).,plos_pathogens,complex,5.3,train
180,This phenocopy behavior was also observed with respect to other defense-related functions; lecrk-I. 9 and 35S-ipiO1 were both disturbed in pathogen-and MAMP-triggered callose deposition.,plos_pathogens,complex,6.0,train
181,"By site-directed mutagenesis, we demonstrated that the RGD cell attachment motif in IPI-O is not only essential for disrupting the CW-PM adhesions, but also for disease suppression.",plos_pathogens,complex,6.0,train
182,These results suggest that destabilizing the CW-PM continuum is one of the tactics used by Phytophthora to promote infection.,plos_pathogens,complex,5.0,train
183,As countermeasure the host may want to strengthen CW-PM adhesions and the novel Phytophthora resistance component LecRK-I. 9 seems to function in this process.,plos_pathogens,complex,5.0,train
184,Phytophthora species are notorious plant pathogens which cause a variety of devastating crop diseases.,plos_pathogens,simple,4.3,train
185,"Phytophthora pathogens secrete a plethora of effector proteins, several of which are known to interact with receptors in the host cell thereby either activating or suppressing defense responses.",plos_pathogens,simple,5.0,train
186,"Unlike animals, plants lack an adaptive immune system; however, they are not defenseless and have acquired other mechanisms to withstand pathogens.",plos_pathogens,simple,4.3,train
187,Receptor proteins play important roles in sensing alterations at the plant cell wall and in mediating responses upon pathogen attack.,plos_pathogens,simple,4.7,train
